"carat","depth","table","x","y","z","cutNumber","colorNumber","priceNumber"
1.1,62.4,59,6.55,6.51,4.08,4,2,3
1.5,63.7,61,7.22,7.1,4.57,2,2,3
0.75,62.4,54,5.86,5.84,3.65,3,7,3
0.9,63.5,58,6.08,6.14,3.88,5,6,3
0.9,64.7,58,5.98,6.01,3.88,1,3,3
1.31,59.7,59,7.06,7.01,4.2,4,1,3
0.9,63.8,54,6.09,6.13,3.9,5,5,3
0.9,58,58,6.24,6.28,3.63,2,5,3
1.12,63.4,57,6.51,6.47,4.12,5,4,3
1.02,59.2,59,6.57,6.54,3.88,4,3,3
0.9,59.2,60,6.31,6.23,3.71,4,6,3
0.71,61,56,5.77,5.8,3.53,3,5,3
0.77,61.7,56,5.85,5.91,3.63,3,5,3
0.91,62.8,61,6.07,6.09,3.82,5,6,3
0.9,60.5,57,6.23,6.2,3.76,4,5,3
0.9,60.1,59,6.31,6.24,3.77,4,5,3
0.9,58,57,6.41,6.34,3.7,4,5,3
0.9,62,61,6.16,6.14,3.81,4,5,3
0.9,60.3,55,6.35,6.28,3.81,4,5,3
0.85,62.2,56,6.01,6.08,3.76,5,5,3
0.9,62.9,59,6.06,6.15,3.84,5,7,3
0.77,61.3,56,5.91,5.94,3.63,3,3,3
0.9,58.7,60,6.28,6.35,3.71,5,2,3
0.9,63,60,6.15,6.17,3.88,5,2,3
1.01,59.5,57,6.61,6.66,3.95,5,5,3
0.86,62.8,56,6.05,6.08,3.81,3,7,3
0.75,61.9,54,5.83,5.84,3.61,3,5,3
0.71,60.9,57,5.76,5.78,3.51,3,5,3
0.71,61.5,56,5.72,5.76,3.53,3,5,3
0.71,61.4,56,5.75,5.78,3.54,3,5,3
0.71,61.3,56,5.69,5.75,3.51,3,5,3
0.71,61.9,56,5.69,5.72,3.53,3,5,3
0.71,61.5,56,5.72,5.75,3.52,3,5,3
0.91,63.5,61,6.1,6.05,3.86,5,4,3
1,61.6,59,6.34,6.41,3.93,4,2,3
0.75,61.1,56,5.85,5.9,3.59,3,7,3
0.78,61.1,55,5.99,5.96,3.65,3,6,3
0.8,61.2,58,5.99,6.03,3.68,3,5,3
1.02,60.2,60,6.45,6.39,3.87,4,2,3
1.02,61.3,57,6.51,6.45,3.97,4,3,3
1.02,63.4,63,6.36,6.32,4.02,5,3,3
1.02,62,56,6.4,6.34,3.95,3,3,3
0.9,61.3,58,6.13,6.08,3.74,4,5,3
0.9,61.6,58,6.18,6.23,3.82,5,6,3
0.79,61.6,55,5.94,6.04,3.69,3,6,3
0.71,60.9,58,5.72,5.78,3.5,3,7,3
1.01,60,60,6.46,6.4,3.86,4,5,3
0.75,63,57,5.81,5.78,3.65,5,6,3
0.9,62.3,56,6.14,6.21,3.85,3,4,3
0.71,59.2,59,5.9,5.85,3.48,4,7,3
0.72,62,58,5.71,5.74,3.55,5,6,3
0.9,61.2,57,6.15,6.2,3.78,5,2,3
0.8,62.3,57,5.92,5.95,3.7,5,5,3
0.77,61.8,56,5.84,5.9,3.63,3,7,3
0.9,61.5,57,6.07,6.19,3.77,3,4,3
0.96,62.6,59,6.18,6.29,3.9,5,4,3
0.91,61.8,53,6.22,6.3,3.87,3,6,3
1.12,62.4,59,6.6,6.54,4.1,4,5,3
0.7,62.5,56,5.63,5.7,3.54,5,6,3
0.9,61.6,56,6.14,6.2,3.8,5,5,3
0.92,63.8,57,6.13,6.16,3.92,5,4,3
0.9,61.8,56,6.2,6.23,3.84,3,2,3
0.92,61.4,58,6.23,6.27,3.84,4,2,3
0.7,61.6,57,5.74,5.71,3.53,3,4,3
1.21,63.3,63,6.67,6.72,4.24,2,6,3
1.1,59.6,59,6.74,6.72,4.01,4,1,3
0.9,57.1,56,6.33,6.28,3.6,2,3,3
1.13,62,55,6.66,6.7,4.14,3,6,3
0.97,60.7,55,6.47,6.41,3.91,3,3,3
0.9,60.6,56,6.23,6.28,3.79,5,2,3
0.91,64.7,61,6.06,5.99,3.9,1,7,3
0.91,64,58,6.09,6.06,3.89,2,7,3
1.11,64.4,58,6.55,6.5,4.2,1,3,3
0.98,62.1,59,6.33,6.39,3.95,5,3,3
1.01,59.6,60,6.55,6.5,3.89,4,3,3
0.76,62.3,55,5.81,5.84,3.63,3,7,3
1.19,61.5,57,6.83,6.79,4.19,3,3,3
1.01,62.4,56,6.44,6.38,4,3,5,3
1.15,63.8,60,6.63,6.56,4.21,2,1,3
0.9,61,62,6.17,6.26,3.79,2,5,3
1.01,61.9,55,6.45,6.38,3.97,3,2,3
1.01,61.2,59,6.43,6.37,3.92,4,1,3
0.9,63.8,59,6.05,6.08,3.87,2,4,3
0.9,63.2,59,6.05,6.1,3.84,2,4,3
0.9,63.7,64,6.02,6.07,3.85,2,2,3
0.9,62,61,6.07,6.13,3.78,5,4,3
0.9,63.7,58,6.09,6.12,3.89,2,4,3
0.91,62.8,58,6.13,6.16,3.86,5,3,3
0.9,58.9,61,6.27,6.36,3.72,2,3,3
1.51,67.8,59,7.09,7,4.78,1,5,3
0.73,62.6,55,5.71,5.76,3.59,3,7,3
1.15,59.6,59,6.82,6.78,4.05,4,3,3
0.78,61.6,55,5.91,5.94,3.65,3,4,3
0.8,61.9,56,5.93,5.96,3.69,5,3,3
0.7,60.9,59,5.69,5.73,3.48,3,7,3
1.03,62.3,57,6.48,6.43,4.02,3,1,3
1.01,61.5,57,6.42,6.46,3.96,3,4,3
1,63.2,60,6.27,6.3,3.97,2,3,3
1,65.1,60,6.19,6.1,4,1,5,3
1.06,61.3,60,6.59,6.52,4.02,4,1,3
0.9,63.8,58,6.13,6.09,3.9,2,7,3
0.9,63.6,57,6.07,6.03,3.85,2,7,3
0.58,62.2,56,5.34,5.36,3.33,3,7,3
1.08,63.2,59,6.4,6.57,4.1,2,1,3
0.87,58.8,56,6.3,6.26,3.69,4,7,3
0.91,61.6,60,6.14,6.1,3.77,4,6,3
1.03,57.2,59,6.66,6.63,3.8,2,7,3
1.03,66.4,56,6.31,6.19,4.15,1,7,3
0.78,61.7,55,5.89,5.94,3.65,5,5,3
1.02,63.3,56,6.38,6.42,4.05,5,1,3
1.1,59.8,61,6.7,6.65,3.99,4,5,3
1.52,67.7,58,7.07,7,4.76,1,2,3
0.9,60.4,60,6.23,6.28,3.78,5,1,3
0.93,63,58,6.16,6.18,3.89,5,6,3
0.91,58.2,61,6.58,6.41,3.77,4,5,3
0.74,61.7,55,5.85,5.79,3.59,3,7,3
0.91,62.4,57,6.22,6.18,3.87,3,5,3
0.9,62.5,60,6.09,6.13,3.82,5,6,3
0.92,62.6,59,6.19,6.23,3.89,4,5,3
1.01,61.7,60,6.34,6.4,3.93,4,2,3
0.63,60.9,57,5.53,5.57,3.38,3,5,3
1.03,62.7,62,6.43,6.38,4.02,4,3,3
1.03,62,60,6.47,6.41,4,4,3,3
0.9,63.8,56,5.99,5.92,3.8,2,5,3
0.3,60.5,58,4.3,4.36,2.62,3,5,1
0.4,62.6,54,4.73,4.76,2.97,3,4,1
0.4,62.1,53,4.75,4.78,2.96,3,4,1
0.31,61.4,55,4.44,4.36,2.7,3,3,1
0.31,62.3,55,4.36,4.34,2.71,4,3,1
0.31,63.6,57,4.33,4.32,2.75,2,3,1
0.31,61.1,57,4.35,4.32,2.65,4,3,1
0.31,60.5,60,4.4,4.33,2.64,4,3,1
0.3,60.2,56,4.4,4.37,2.64,3,7,1
0.31,61.4,56,4.34,4.37,2.67,3,4,1
0.34,63.3,54,4.48,4.46,2.83,5,5,1
0.34,61.7,61,4.48,4.44,2.75,4,5,1
0.3,62.6,57,4.34,4.25,2.69,4,4,1
0.3,63.8,56,4.3,4.26,2.73,2,4,1
0.3,59.8,57,4.37,4.32,2.6,4,4,1
0.77,61.9,54,5.91,5.94,3.66,3,5,3
0.9,65.7,59,5.96,5.92,3.9,1,5,3
0.9,65.7,57,6.03,5.99,3.95,1,5,3
0.93,64.6,58,6.13,6.07,3.94,1,3,3
1.25,59.8,58,7.02,6.96,4.18,4,1,3
0.91,62.2,56,6.22,6.18,3.86,3,2,3
0.9,63.3,56,6.08,6.11,3.86,5,4,3
0.7,61.4,54.2,5.72,5.76,3.52,3,7,3
1,57.9,59,6.65,6.51,3.8,2,6,3
1.06,62,58,6.45,6.53,4.04,5,1,3
1.02,62.5,58,6.47,6.4,4.02,4,5,3
0.9,63.6,63,6.03,6.07,3.85,2,7,3
1.03,63,60,6.35,6.39,4.01,5,4,3
0.77,61.8,56,5.9,5.84,3.63,3,7,3
0.91,63.3,58,6.11,6.06,3.85,5,3,3
1.01,59.5,62,6.42,6.46,3.83,2,1,3
0.73,61.7,57,5.77,5.8,3.57,3,6,3
0.61,61.7,56,5.47,5.42,3.36,3,7,3
0.72,61.5,56,5.77,5.8,3.56,3,5,3
0.72,61.7,56,5.75,5.78,3.56,3,5,3
0.72,61,55,5.77,5.81,3.53,3,5,3
0.72,61.5,56,5.74,5.77,3.53,3,5,3
0.71,60.3,52,5.8,5.87,3.52,5,6,3
1.09,59.4,57,6.74,6.65,3.98,3,6,3
1.01,60.5,61,6.47,6.42,3.9,4,2,3
0.91,62.7,56,6.14,6.18,3.86,5,3,3
0.92,62.9,58,6.18,6.22,3.9,5,5,3
0.91,63.4,59,6.2,6.14,3.91,5,4,3
0.78,61.9,56,5.88,5.94,3.66,3,7,3
0.91,60.3,57,6.26,6.34,3.8,3,5,3
1,64.6,54,6.33,6.27,4.07,1,6,3
1,65.3,55,6.34,6.25,4.11,1,2,3
1,60.7,58,6.45,6.38,3.9,4,6,3
1.2,58.6,57,7.01,6.96,4.09,3,3,3
1,60.1,62,6.5,6.47,3.9,4,2,3
1,63.2,56,6.4,6.32,4.02,5,6,3
1.22,64.7,61,6.75,6.68,4.34,1,4,3
0.9,62.8,52,6.19,6.23,3.9,5,2,3
1.03,65.6,58,6.3,6.26,4.12,1,4,3
0.85,62.1,56,6.05,6.1,3.77,3,4,3
0.76,60.6,59,5.94,5.85,3.57,4,6,3
1.01,64,56,6.25,6.32,4.02,2,5,3
0.96,62.7,58,6.27,6.24,3.92,4,3,3
1.02,63.4,57,6.37,6.4,4.05,5,2,3
1,58.7,61,6.5,6.52,3.82,2,1,3
0.9,62,61,6.14,6.16,3.81,5,5,3
0.9,61.5,59,6.2,6.23,3.82,4,5,3
0.9,60.8,57,6.22,6.25,3.79,5,3,3
1.02,57.9,61,6.75,6.68,3.89,2,3,3
0.91,63,56,6.12,6.16,3.87,5,6,3
0.91,62.6,57,6.13,6.18,3.85,3,6,3
1.02,58.9,65,6.54,6.59,3.87,2,7,3
1.04,62,57,6.53,6.47,4.03,4,2,3
0.83,61.8,56,6,6.03,3.72,5,2,3
0.9,62.9,58,6.11,6.02,3.82,4,4,3
0.91,62.5,56,6.16,6.19,3.86,3,6,3
0.83,62,55,6.03,6.07,3.75,3,5,3
0.9,62.7,59,6.14,6.1,3.84,4,4,3
0.8,61.1,56,6.02,5.96,3.66,3,3,3
0.83,61.6,56,6.03,6.05,3.72,3,6,3
1.07,60.8,56,6.61,6.57,4.01,3,1,3
0.91,62.7,63,6.05,6,3.78,5,4,3
1.06,61.4,57,6.57,6.63,4.05,3,2,3
1.01,61.3,57,6.4,6.35,3.91,3,5,3
0.9,62.7,58,6.11,6.13,3.84,2,5,3
0.9,61.3,58,6.08,6.13,3.74,5,5,3
1.04,63.1,58,6.39,6.33,4.01,5,7,3
1,63.8,59,6.34,6.27,4.02,2,1,3
1,62.8,59,6.37,6.27,3.97,4,1,3
1,62.5,56,6.38,6.3,3.96,4,2,3
0.9,59.8,61,6.21,6.17,3.7,4,7,3
1,60.8,58,6.44,6.39,3.9,4,1,3
0.9,62.7,58,6.16,6.09,3.84,4,5,3
1.5,62.4,60,7.37,7.19,4.54,4,7,3
0.91,62.3,57,6.22,6.14,3.85,4,7,3
1.2,61.7,57,6.85,6.79,4.21,4,1,3
1.01,62.8,58,6.4,6.34,4,4,2,3
0.73,61,56,5.82,5.86,3.56,3,4,3
0.73,62.3,55,5.77,5.79,3.6,3,3,3
1.02,60.7,57,6.54,6.57,3.98,3,2,3
0.77,61.7,55,5.89,5.91,3.64,3,4,3
0.77,59.6,57,6.01,6.03,3.59,5,7,3
0.9,62.4,59,6.1,6.17,3.83,5,5,3
0.85,60.1,56,6.17,6.18,3.71,3,6,3
1.02,65.3,58,6.33,6.22,4.1,1,4,3
0.92,62.1,59,6.26,6.21,3.87,4,5,3
0.7,61.2,57,5.69,5.75,3.5,3,7,3
1.23,61.6,55,6.91,6.88,4.25,3,4,3
1,61.7,58,6.32,6.36,3.91,5,5,3
1.01,63,55,6.39,6.34,4.01,4,1,3
1,60.3,58,6.49,6.44,3.9,4,1,3
1.24,63.1,60,6.79,6.74,4.27,5,1,3
1.01,59.2,59,6.52,6.62,3.89,5,2,3
0.9,63.9,61,6.01,5.97,3.83,2,4,3
1.01,62.7,55,6.42,6.44,4.03,5,1,3
1.19,60.3,57,6.83,6.93,4.15,3,3,3
0.9,62.3,57,6.16,6.19,3.85,3,3,3
0.72,61.7,56,5.73,5.77,3.55,3,5,3
1.03,63.7,56,6.42,6.35,4.07,2,1,3
1.01,62.7,58,6.32,6.43,4,5,4,3
0.91,64,58,6.06,6.09,3.89,2,7,3
0.9,61.9,56,6.19,6.24,3.85,3,5,3
0.73,61.4,55,5.8,5.83,3.57,3,5,3
1.13,62,55,6.7,6.66,4.14,3,6,3
0.79,58.8,60,6.03,6.08,3.56,5,7,3
0.82,61.5,57,6.01,6.05,3.71,3,5,3
0.9,59.5,62,6.2,6.23,3.7,2,7,3
1,64.1,58,6.35,6.26,4.04,2,5,3
1,63.2,59,6.31,6.25,3.97,5,5,3
0.92,60.6,60,6.28,6.33,3.82,5,3,3
0.91,62.2,57,6.2,6.24,3.87,3,6,3
0.78,63.2,58,5.87,5.81,3.69,5,7,3
1.01,60.4,57,6.53,6.49,3.93,4,6,3
1.01,59.5,60,6.59,6.53,3.9,4,6,3
1,63.4,60,6.28,6.33,4,2,5,3
1.01,61.6,55,6.5,6.45,3.99,3,1,3
1.01,61.8,61,6.35,6.29,3.9,4,6,3
1.02,65.5,57,6.19,6.24,4.07,1,2,3
0.97,61.6,56,6.39,6.36,3.93,3,3,3
0.9,59.9,59,6.32,6.27,3.77,4,5,3
0.85,60.2,60,6.14,6.09,3.68,4,6,3
0.9,62.1,56,6.25,6.19,3.86,3,6,3
0.74,62.1,53,5.82,5.8,3.61,3,6,3
0.9,61.3,56,6.24,6.2,3.81,3,2,3
1.08,62.7,57,6.57,6.53,4.11,4,2,3
0.9,61,59,6.14,6.18,3.76,5,7,3
0.79,61,55,6.01,6.03,3.67,5,5,3
1.03,62.4,57,6.43,6.38,4,3,5,3
0.71,63,57,5.66,5.7,3.58,5,6,3
0.9,62.6,57,6.13,6.2,3.86,3,6,3
0.96,60.6,60,6.47,6.4,3.9,4,2,3
1.04,63.5,59,6.37,6.42,4.06,5,1,3
0.9,61.6,63,6.14,6.1,3.77,5,3,3
0.9,62.8,58,6.17,6.13,3.86,4,3,3
0.9,63,61,6.14,6.05,3.84,4,3,3
0.78,61.9,56,5.89,5.91,3.65,3,7,3
0.91,62.2,56,6.14,6.17,3.83,3,5,3
0.74,61.3,57,5.8,5.84,3.57,3,7,3
0.93,60.8,60,6.3,6.24,3.81,4,7,3
0.9,62.4,63,6.13,6.04,3.8,5,7,3
0.93,63.8,59,6.21,6.15,3.94,2,7,3
0.74,61.7,55,5.79,5.85,3.59,3,7,3
1.05,62.2,59,6.44,6.51,4.03,5,6,3
0.93,61.8,59,6.23,6.27,3.86,4,3,3
1.05,65.4,59,6.3,6.24,4.1,1,7,3
0.9,64.1,59.4,6.04,6.08,3.88,2,4,3
1.01,58.7,67,6.52,6.56,3.84,1,4,3
0.91,62.2,57,6.17,6.12,3.82,4,4,3
0.75,60.4,56,5.9,5.96,3.58,5,6,3
0.79,61.3,57,5.95,6,3.66,3,7,3
0.3,63.2,57,4.24,4.21,2.67,5,7,1
0.3,61.8,58,4.32,4.29,2.66,4,7,1
0.3,62.7,58,4.27,4.22,2.66,4,4,1
0.34,63.7,54,4.48,4.43,2.84,2,2,1
0.34,61.8,57,4.51,4.46,2.77,4,2,1
0.34,59.2,61,4.58,4.57,2.71,4,2,1
0.34,62.8,59,4.47,4.45,2.8,4,4,1
0.34,60,62,4.55,4.51,2.72,4,5,1
0.3,58.8,60,4.39,4.35,2.57,4,4,1
0.3,62.8,56,4.32,4.28,2.7,3,4,1
0.3,61,57,4.34,4.31,2.64,4,4,1
0.3,60.9,58,4.32,4.29,2.62,4,7,1
0.3,61.1,55,4.35,4.32,2.65,3,7,1
0.3,62.1,57,4.33,4.3,2.68,3,7,1
0.3,61.4,59,4.31,4.26,2.63,4,7,1
1.01,62.9,56,6.4,6.35,4.01,3,1,3
1.01,62.6,55,6.43,6.38,4.01,4,2,3
0.95,62.9,57,6.24,6.19,3.91,4,2,3
1,63.7,61,6.27,6.32,4.01,2,6,3
1,59.8,56,6.5,6.48,3.88,4,3,3
0.9,62.6,54.3,6.14,6.17,3.86,3,2,3
1.52,61.7,58,7.43,7.34,4.56,4,4,3
0.85,61.9,55,6.07,6.14,3.78,3,7,3
0.75,62.4,57,5.88,5.75,3.63,4,5,3
1.05,63,57,6.47,6.42,4.06,4,3,3
0.91,62.5,56,6.21,6.15,3.86,4,5,3
1.01,63.2,62,6.29,6.33,3.99,2,1,3
0.92,63.3,59,6.18,6.12,3.89,5,7,3
1.03,63,60,6.39,6.35,4.01,4,4,3
0.94,60.4,59,6.34,6.37,3.84,4,6,3
0.91,60.2,57,6.31,6.34,3.81,3,1,3
0.79,62.2,55,5.9,5.97,3.69,3,6,3
0.53,59.8,60,5.22,5.28,3.14,5,7,3
1.05,60.1,60,6.58,6.66,3.98,4,4,3
0.86,61.8,57,6.1,6.13,3.78,3,6,3
0.77,62.8,58,5.84,5.78,3.65,5,4,3
1.14,62.2,61,6.72,6.64,4.16,4,3,3
0.7,62.4,55,5.63,5.71,3.54,3,5,3
1,55.2,64,6.69,6.64,3.68,1,3,3
0.9,61.7,58,6.18,6.11,3.79,4,6,3
0.95,59.7,61,6.35,6.27,3.77,4,4,3
0.8,63.2,54,5.88,5.93,3.73,5,6,3
0.71,62.5,57,5.67,5.62,3.53,4,6,3
1.01,62,58,6.43,6.47,4,5,2,3
0.76,60.6,59,5.85,5.94,3.57,5,6,3
1,68.2,60,6.02,5.94,4.08,1,4,3
1,68.9,56,6.16,6.11,4.23,1,4,3
1,62,61,6.36,6.45,3.97,2,1,3
0.91,63.9,56,6.06,6.09,3.88,5,7,3
0.83,62.3,55,5.98,6.02,3.74,3,6,3
1.01,65.2,57,6.33,6.24,4.1,1,5,3
0.93,59.3,61,6.33,6.39,3.77,5,3,3
0.71,61,56,5.76,5.81,3.53,3,7,3
1.12,64.3,60,6.59,6.56,4.23,2,2,3
1.02,61.4,60,6.47,6.42,3.96,4,7,3
0.81,62.8,57,5.9,5.95,3.72,5,6,3
0.93,64.5,58,6.11,6.14,3.95,2,7,3
0.9,61.3,60,6.14,6.17,3.77,5,4,3
0.9,62.7,59,6.1,6.14,3.84,4,4,3
0.9,59,58,6.29,6.25,3.7,4,4,3
0.9,59.8,61,6.32,6.28,3.77,5,4,3
0.74,61.4,56,5.83,5.86,3.59,3,5,3
1.02,58.9,65,6.59,6.54,3.87,2,7,3
0.92,60.3,61,6.29,6.38,3.82,2,7,3
1.04,57.4,60,6.76,6.72,3.87,2,1,3
0.93,62,55,6.32,6.29,3.91,3,3,3
0.91,59.1,60,6.36,6.3,3.74,4,5,3
1.11,63.6,58,6.48,6.57,4.15,2,1,3
0.91,61.6,60,6.14,6.1,3.77,4,6,3
1.08,63.4,55,6.53,6.5,4.13,5,5,3
1.06,61.5,58,6.59,6.55,4.04,4,2,3
0.91,62.3,57,6.14,6.22,3.85,5,7,3
0.9,63.6,58,6.08,6.12,3.88,5,5,3
0.72,61.9,57,5.72,5.75,3.55,3,4,3
1,63.4,61,6.29,6.33,4,2,3,3
1,61.2,59,6.38,6.42,3.92,4,3,3
0.9,62.9,62,6.06,6.02,3.8,4,4,3
1.01,63.7,58,6.31,6.35,4.03,2,4,3
1.01,63.4,57,6.32,6.37,4.02,2,4,3
1.01,58.8,57,6.57,6.63,3.88,2,1,3
0.91,59.6,60,6.29,6.25,3.74,4,3,3
0.92,62.1,59,6.21,6.26,3.87,5,5,3
0.9,61.7,60,6.19,6.22,3.83,5,5,3
0.91,60.6,57,6.3,6.26,3.81,3,3,3
0.91,58.2,59,6.36,6.4,3.71,2,3,3
0.73,62.2,56,5.72,5.75,3.57,5,7,3
0.93,62.5,55,6.23,6.29,3.91,3,2,3
1.02,61.2,59,6.51,6.46,3.97,4,2,3
1.02,62.8,54,6.46,6.43,4.05,3,1,3
1.02,62,59,6.45,6.42,3.99,4,2,3
1.02,60.7,57,6.57,6.54,3.98,3,2,3
0.9,61.6,59,6.26,6.18,3.83,4,6,3
1.02,62.5,58,6.37,6.43,4,5,1,3
1,60.2,62,6.53,6.45,3.91,4,5,3
0.74,61.8,56,5.79,5.82,3.59,3,7,3
1,61.7,58,6.36,6.32,3.91,4,5,3
1,59.8,65,6.58,6.43,3.9,2,5,3
1,60.4,58,6.47,6.44,3.9,4,5,3
0.9,63.9,61,5.97,6.01,3.83,2,4,3
1,59.7,63,6.43,6.5,3.86,2,4,3
1.08,64.9,60,6.43,6.39,4.16,1,6,3
1.14,60.4,59,6.8,6.74,4.09,4,1,3
0.94,59,59,6.34,6.41,3.76,5,7,3
1.21,65.6,56,6.69,6.59,4.36,1,3,3
0.9,63.6,57,6.08,6.12,3.88,5,6,3
1,61,61,6.31,6.27,3.84,4,3,3
1.12,60.9,57,6.66,6.6,4.04,3,6,3
1.12,60.9,63,6.65,6.59,4.03,5,6,3
1,59.6,61,6.4,6.36,3.8,4,1,3
0.92,59.3,61,6.36,6.29,3.75,4,5,3
1.17,57.4,59,7.02,6.95,4.01,2,7,3
0.9,62.4,56,6.14,6.19,3.85,3,2,3
1.01,64.5,59,6.27,6.23,4.03,1,3,3
1.01,62.1,57,6.47,6.37,3.99,4,3,3
0.94,62.6,57,6.27,6.25,3.92,4,5,3
1.2,62.3,60,6.78,6.71,4.2,4,6,3
0.96,62.1,57,6.32,6.27,3.91,3,4,3
0.96,63.7,54,6.24,6.19,3.96,2,5,3
0.96,59.2,61,6.42,6.36,3.78,4,3,3
1.1,61.9,56,6.59,6.63,4.09,3,6,3
0.9,59.4,58,6.31,6.35,3.76,5,6,3
0.92,62.8,56,6.19,6.23,3.9,5,5,3
0.87,59.9,59,6.2,6.16,3.7,4,7,3
1.12,60.3,57,6.73,6.8,4.08,3,4,3
1,63.2,59,6.24,6.29,3.96,2,3,3
0.9,65.2,61,6.01,5.98,3.91,1,6,3
0.91,62.8,59,6.1,6.16,3.85,5,6,3
1.03,61.7,61,6.49,6.45,3.99,4,6,3
0.92,59.4,59,6.39,6.28,3.76,4,7,3
0.9,61.2,61,6.14,6.21,3.78,5,3,3
0.9,63,61,6.05,6.14,3.84,5,3,3
1,63.9,55,6.25,6.33,4.02,2,3,3
0.95,60,60,6.39,6.37,3.83,4,2,3
1.02,63.1,60,6.35,6.4,4.02,5,1,3
0.9,61,60,6.17,6.12,3.75,4,4,3
0.74,61.5,55,5.85,5.82,3.59,3,5,3
0.9,62.4,63,6.04,6.13,3.8,2,7,3
0.9,61.6,54,6.18,6.25,3.83,5,7,3
1.2,59.6,62,6.9,6.95,4.13,5,1,3
1,63.3,56,6.3,6.36,4.01,2,6,3
0.82,61.9,54,5.99,6.03,3.72,3,4,3
1.26,64.9,60,6.7,6.62,4.32,1,3,3
0.9,62.5,62,6.11,6.08,3.81,4,5,3
0.9,63.2,61,6.13,6.09,3.86,5,5,3
1,59.4,62,6.55,6.52,3.88,4,5,3
1,60.9,57,6.47,6.43,3.93,3,2,3
0.9,62.4,57,6.23,6.15,3.86,3,5,3
0.91,59.2,62,6.2,6.14,3.65,4,3,3
1.11,63.7,58,6.57,6.53,4.17,5,2,3
1.13,58.3,60,6.83,6.78,3.97,4,7,3
0.91,62.6,57,6.16,6.21,3.87,3,4,3
0.9,58.1,64,6.26,6.28,3.64,2,6,3
0.8,62.4,55,5.92,5.88,3.68,3,5,3
0.95,62.2,57,6.29,6.22,3.89,3,2,3
1.01,61.8,60,6.34,6.37,3.93,5,2,3
1.01,62.5,59,6.31,6.37,3.96,2,5,3
0.94,62,58,6.23,6.29,3.88,5,6,3
1.18,61.5,62,6.88,6.73,4.19,3,7,3
0.91,61.6,60,6.19,6.21,3.82,5,3,3
1.01,60.6,61,6.38,6.45,3.89,5,3,3
1.01,62.1,58,6.38,6.44,3.98,5,2,3
1.01,60.3,57,6.51,6.53,3.93,5,2,3
0.73,61.9,55.2,5.74,5.79,3.58,3,5,3
0.91,61.2,58,6.25,6.21,3.81,4,7,3
1,56.9,63,6.54,6.49,3.71,1,6,3
0.3,63.4,56,4.29,4.26,2.71,5,7,1
0.3,62.4,59,4.28,4.25,2.66,4,7,1
0.3,61,61,4.31,4.25,2.61,4,7,1
0.33,57.3,59,4.6,4.62,2.64,2,6,1
0.25,59.4,57,4.1,4.12,2.44,5,5,1
0.25,61,58,4.02,4.05,2.46,5,5,1
0.25,63.2,57,3.99,4.01,2.53,5,5,1
0.25,60.2,59,4.07,4.14,2.47,5,6,1
0.27,61.9,58,4.1,4.14,2.55,5,6,1
0.25,62.1,58,4.03,4.06,2.51,5,6,1
0.25,60.9,59,4.03,4.11,2.48,5,6,1
0.25,63.4,58,3.97,4.01,2.53,5,6,1
0.25,60.5,59,4.06,4.1,2.47,5,6,1
0.27,64.6,53,4.04,4.1,2.63,5,7,1
0.25,59.7,58,4.13,4.14,2.47,5,6,1
0.9,60.8,58,6.18,6.22,3.77,5,3,3
0.8,61,57,6,6.03,3.67,3,6,3
0.92,63.3,59,6.12,6.18,3.89,2,7,3
1.1,65.5,57,6.45,6.37,4.2,1,6,3
1.03,65,57,6.3,6.32,4.1,2,3,3
0.9,61.1,56,6.23,6.3,3.83,5,5,3
1.03,62.3,56,6.51,6.45,4.04,3,1,3
0.9,60.2,56,6.24,6.29,3.77,3,4,3
1,64.3,53,6.29,6.34,4.06,2,7,3
0.76,60.6,58,5.95,5.89,3.59,4,7,3
1.01,64.5,61,6.24,6.31,4.05,2,4,3
0.9,61.3,61,6.13,6.17,3.77,2,6,3
0.93,63.4,54,6.19,6.24,3.94,2,5,3
1.24,60,60,6.94,6.88,4.15,4,4,3
1.01,63,60,6.35,6.28,3.98,4,5,3
1.01,60,59,6.47,6.41,3.86,4,5,3
1.01,63.5,56,6.38,6.35,4.04,5,5,3
1.01,64.3,57,6.32,6.25,4.04,2,5,3
0.9,63.4,56,6.06,6.12,3.86,5,5,3
0.91,62.8,59,6.16,6.13,3.86,4,6,3
1.13,62.5,57,6.68,6.63,4.16,4,6,3
0.91,61.5,56,6.23,6.2,3.82,3,6,3
1.01,62.1,59,6.39,6.42,3.98,4,2,3
0.73,62.7,56,5.76,5.72,3.6,3,5,3
0.7,62.6,54,5.65,5.7,3.55,3,6,3
1.29,58.6,60,7.18,7.12,4.19,4,6,3
0.9,61.1,58,6.12,6.26,3.78,5,6,3
0.9,64.1,56,6,6.05,3.86,2,3,3
1.03,60.2,55,6.53,6.59,3.95,5,5,3
1.01,61.1,57,6.48,6.44,3.95,4,5,3
1.02,60.7,56,6.56,6.51,3.97,4,4,3
1.23,61.9,61,6.85,6.79,4.22,3,3,3
1,62.4,56,6.31,6.35,3.95,5,5,3
1.01,62.8,59,6.34,6.37,3.99,5,1,3
1,64.2,57,6.25,6.27,4.02,2,4,3
0.95,58.9,61,6.45,6.41,3.79,4,6,3
1.24,63.3,60,6.83,6.75,4.29,5,1,3
